trading_date,spread_name,5day_ret_0931_rank,5day_ret_0931_rank_mxm
2021/8/2,Spread_Port_05,0.002172396,0.046649296
2021/8/2,Spread_Port_06,-0.001484547,-0.11125689
2021/8/3,Spread_Port_01,-0.002241657,-0.06988918
2021/8/3,Spread_Port_02,0.002511166,0.106863834
2021/8/3,Spread_Port_03,-0.004788707,-0.11525147
2021/8/3,Spread_Port_04,0.008175355,0.24369141
2021/8/3,Spread_Port_05,0.0001934,-0.038348645
2021/8/3,Spread_Port_06,-0.003716765,-0.15200405
2021/8/4,Spread_Port_01,-0.00211155,-0.069458805
2021/8/4,Spread_Port_02,0.002223942,0.10389242
2021/8/4,Spread_Port_03,-0.004104167,-0.08535458
2021/8/4,Spread_Port_04,0.006000257,0.16421737
2021/8/4,Spread_Port_05,-2.88E-05,-0.048443243
2021/8/4,Spread_Port_06,-0.00169592,-0.086436175
2021/8/5,Spread_Port_01,-0.002109455,-0.08217343
2021/8/5,Spread_Port_02,0.002223942,0.10389242
2021/8/5,Spread_Port_03,-0.004002096,-0.0725876
2021/8/5,Spread_Port_04,0.004806813,0.12947726
2021/8/5,Spread_Port_05,0.000933578,-0.003656229
2021/8/5,Spread_Port_06,-0.00169592,-0.086436175
2021/8/6,Spread_Port_01,-0.001501076,-0.080096
2021/8/6,Spread_Port_02,0.004105769,0.14587456
2021/8/6,Spread_Port_03,-0.004002096,-0.0725876
2021/8/6,Spread_Port_04,0.003440581,0.09303932
2021/8/6,Spread_Port_05,0.000627839,0.005245443
2021/8/6,Spread_Port_06,-0.002558901,-0.11087814
2021/8/9,Spread_Port_01,-3.67E-05,-0.054397166
2021/8/9,Spread_Port_02,0.004885202,0.17464212
2021/8/9,Spread_Port_03,-0.003515847,-0.07419308
2021/8/9,Spread_Port_04,0.00486384,0.14431715
2021/8/9,Spread_Port_05,-0.001262074,-0.06301249
2021/8/9,Spread_Port_06,-0.004898748,-0.14978784
2021/8/10,Spread_Port_01,-0.002161541,-0.07957467
2021/8/10,Spread_Port_02,0.004019741,0.1570473
2021/8/10,Spread_Port_03,-0.00359886,-0.07041462
2021/8/10,Spread_Port_04,0.006067945,0.17508176
2021/8/10,Spread_Port_05,-0.000799301,-0.03460651
2021/8/10,Spread_Port_06,-0.003428979,-0.124646604
2021/8/11,Spread_Port_01,-8.50E-05,-0.069393136
2021/8/11,Spread_Port_02,0.004019741,0.1570473
2021/8/11,Spread_Port_03,-0.003259523,-0.06655995
2021/8/11,Spread_Port_04,0.005360703,0.18233868
2021/8/11,Spread_Port_05,-0.000955789,-0.04556847
2021/8/11,Spread_Port_06,-0.004967944,-0.15693578
2021/8/12,Spread_Port_01,-9.98E-05,-0.085640535
2021/8/12,Spread_Port_02,0.003945208,0.1455814
2021/8/12,Spread_Port_03,-0.002603316,-0.020414053
2021/8/12,Spread_Port_04,0.006235206,0.21079695
2021/8/12,Spread_Port_05,-0.000421561,-0.030219065
2021/8/12,Spread_Port_06,-0.006949462,-0.21287085
2021/8/13,Spread_Port_01,-0.000810672,-0.077665225
2021/8/13,Spread_Port_02,0.004153921,0.14906661
2021/8/13,Spread_Port_03,-0.002772908,-0.026476042
2021/8/13,Spread_Port_04,0.00674988,0.21624894
2021/8/13,Spread_Port_05,0.000425035,0.019066032
2021/8/13,Spread_Port_06,-0.007534567,-0.22619212
2021/8/16,Spread_Port_01,-0.00484184,-0.19413081
2021/8/16,Spread_Port_02,0.001163847,0.08249229
2021/8/16,Spread_Port_03,-0.002737949,-0.006972586
2021/8/16,Spread_Port_04,0.006777,0.21061805
2021/8/16,Spread_Port_05,0.002714961,0.09974245
2021/8/16,Spread_Port_06,-0.002690796,-0.13938639
2021/8/17,Spread_Port_01,-0.005303267,-0.2109859
2021/8/17,Spread_Port_02,0.002163341,0.09520332
2021/8/17,Spread_Port_03,-0.003761232,-0.038060598
2021/8/17,Spread_Port_04,0.00908372,0.26666105
2021/8/17,Spread_Port_05,0.001798686,0.06278399
2021/8/17,Spread_Port_06,-0.003627315,-0.17837614
2021/8/18,Spread_Port_01,-0.005987972,-0.20650773
2021/8/18,Spread_Port_02,0.000674806,0.06464289
2021/8/18,Spread_Port_03,-0.002928809,0.014922168
2021/8/18,Spread_Port_04,0.005603255,0.16715765
2021/8/18,Spread_Port_05,0.004533609,0.14919308
2021/8/18,Spread_Port_06,-0.001691854,-0.13175227
2021/8/19,Spread_Port_01,0.005501163,0.037449524
2021/8/19,Spread_Port_02,0.004599357,0.17138034
2021/8/19,Spread_Port_03,-0.002083815,0.011175104
2021/8/19,Spread_Port_04,0.002677509,0.096584454
2021/8/19,Spread_Port_05,-0.004279012,-0.12858321
2021/8/19,Spread_Port_06,-0.006270638,-0.21597582
2021/8/23,Spread_Port_01,-0.003352867,-0.05465835
2021/8/23,Spread_Port_02,-0.000530704,0.003511722
2021/8/23,Spread_Port_03,-0.006340472,-0.12526636
2021/8/23,Spread_Port_04,0.003944655,0.08757691
2021/8/23,Spread_Port_05,0.000563769,0.06484161
2021/8/23,Spread_Port_06,0.005738418,0.117558405
2021/8/24,Spread_Port_01,-0.005965591,-0.1437361
2021/8/24,Spread_Port_02,-0.002849982,-0.07049986
2021/8/24,Spread_Port_03,-0.004658016,-0.11340268
2021/8/24,Spread_Port_04,0.004337955,0.10406386
2021/8/24,Spread_Port_05,0.002099926,0.08926418
2021/8/24,Spread_Port_06,0.007202064,0.13618115
2021/8/25,Spread_Port_01,-0.006271755,-0.11951237
2021/8/25,Spread_Port_02,-0.002402304,-0.04979703
2021/8/25,Spread_Port_03,-0.004658016,-0.11340268
2021/8/25,Spread_Port_04,0.004623198,0.10993249
2021/8/25,Spread_Port_05,0.002529082,0.11458869
2021/8/25,Spread_Port_06,0.006329791,0.11011264
2021/8/26,Spread_Port_01,-0.008468748,-0.21003696
2021/8/26,Spread_Port_02,-0.001929235,-0.01599079
2021/8/26,Spread_Port_03,-0.004263104,-0.10474319
2021/8/26,Spread_Port_04,0.004769607,0.11136958
2021/8/26,Spread_Port_05,0.003194281,0.13540848
2021/8/26,Spread_Port_06,0.006734671,0.123506226
2021/8/27,Spread_Port_01,-0.004380541,-0.0546953
2021/8/27,Spread_Port_02,-0.003570069,-0.080013305
2021/8/27,Spread_Port_03,-0.003039567,-0.07224562
2021/8/27,Spread_Port_04,0.001854192,0.01959884
2021/8/27,Spread_Port_05,0.002912387,0.1033745
2021/8/27,Spread_Port_06,0.006502345,0.14454708
2021/8/30,Spread_Port_01,-0.008297899,-0.19708212
2021/8/30,Spread_Port_02,-0.002465025,-0.03858487
2021/8/30,Spread_Port_03,-0.004188076,-0.09552952
2021/8/30,Spread_Port_04,0.004130564,0.09200809
2021/8/30,Spread_Port_05,0.00422513,0.15716648
2021/8/30,Spread_Port_06,0.006783276,0.15375464
2021/8/31,Spread_Port_01,0.001369798,0.056052454
2021/8/31,Spread_Port_02,-0.000175868,0.0399857
2021/8/31,Spread_Port_03,-0.003226886,-0.0660911
2021/8/31,Spread_Port_04,0.001451303,0.015554924
2021/8/31,Spread_Port_05,-0.001495714,0.034411952
2021/8/31,Spread_Port_06,0.002237268,0.04441794
2021/9/1,Spread_Port_01,-0.007332983,-0.17265649
2021/9/1,Spread_Port_02,-0.00060801,0.023796817
2021/9/1,Spread_Port_03,-0.000393797,-0.01593167
2021/9/1,Spread_Port_04,0.004297813,0.04584005
2021/9/1,Spread_Port_05,0.005989682,0.19222759
2021/9/1,Spread_Port_06,-0.001818999,-0.049306136
2021/9/2,Spread_Port_01,0.003033346,0.11684524
2021/9/2,Spread_Port_02,0.000694121,0.05718805
2021/9/2,Spread_Port_03,0.000910848,0.017219003
2021/9/2,Spread_Port_04,-0.003645237,-0.109349154
2021/9/2,Spread_Port_05,0.001961336,0.10922155
2021/9/2,Spread_Port_06,-0.002889736,-0.06881643
2021/9/3,Spread_Port_01,-0.001066193,-0.023634674
2021/9/3,Spread_Port_02,0.001325388,0.064568415
2021/9/3,Spread_Port_03,0.001658265,0.02358614
2021/9/3,Spread_Port_04,-0.000603478,-0.07232137
2021/9/3,Spread_Port_05,0.002776281,0.11045398
2021/9/3,Spread_Port_06,-0.003903302,-0.082488686
2021/9/6,Spread_Port_01,0.009070292,0.24027738
2021/9/6,Spread_Port_02,0.000863611,0.058840185
2021/9/6,Spread_Port_03,0.000124008,-0.01374886
2021/9/6,Spread_Port_04,-0.004315892,-0.12051551
2021/9/6,Spread_Port_05,-0.003724499,-0.034145147
2021/9/6,Spread_Port_06,-0.001971173,-0.042939477
2021/9/7,Spread_Port_01,0.00892024,0.22795446
2021/9/7,Spread_Port_02,0.001769616,0.082506485
2021/9/7,Spread_Port_03,0.001029943,-0.013149974
2021/9/7,Spread_Port_04,-0.003677156,-0.1326858
2021/9/7,Spread_Port_05,-0.002057553,-0.003214786
2021/9/7,Spread_Port_06,-0.006018109,-0.16923577
2021/9/8,Spread_Port_01,0.00916481,0.23438495
2021/9/8,Spread_Port_02,0.00462026,0.16718452
2021/9/8,Spread_Port_03,9.57E-06,-0.048443682
2021/9/8,Spread_Port_04,-0.003533321,-0.13735066
2021/9/8,Spread_Port_05,-0.003182167,-0.036655806
2021/9/8,Spread_Port_06,-0.00698585,-0.18026295
2021/9/9,Spread_Port_01,0.006845134,0.19427705
2021/9/9,Spread_Port_02,0.00062114,0.060938936
2021/9/9,Spread_Port_03,-0.002637477,-0.11160754
2021/9/9,Spread_Port_04,-0.003964826,-0.11620821
2021/9/9,Spread_Port_05,0.001379873,0.06907646
2021/9/9,Spread_Port_06,-0.001897954,-0.03926945
2021/9/10,Spread_Port_01,-0.005906634,-0.17224993
2021/9/10,Spread_Port_02,-0.000754992,0.019563254
2021/9/10,Spread_Port_03,-0.001568195,-0.06914066
2021/9/10,Spread_Port_04,-5.82E-06,-0.034659844
2021/9/10,Spread_Port_05,0.004774544,0.15424798
2021/9/10,Spread_Port_06,0.003718978,0.12405749
2021/9/13,Spread_Port_01,-0.004936168,-0.14584048
2021/9/13,Spread_Port_02,0.0024482,0.09896624
2021/9/13,Spread_Port_03,-7.83E-05,-0.00279053
2021/9/13,Spread_Port_04,0.001572893,-0.04129362
2021/9/13,Spread_Port_05,0.005352173,0.18862373
2021/9/13,Spread_Port_06,-0.004124533,-0.1422945
2021/9/14,Spread_Port_01,-0.00176832,-0.04063391
2021/9/14,Spread_Port_02,0.004047933,0.16379805
2021/9/14,Spread_Port_03,0.000970273,0.02388234
2021/9/14,Spread_Port_04,0.000494147,-0.05438699
2021/9/14,Spread_Port_05,0.003680014,0.11960141
2021/9/14,Spread_Port_06,-0.007277142,-0.20949665
2021/9/15,Spread_Port_01,-0.005644277,-0.1778582
2021/9/15,Spread_Port_02,-0.002126312,-0.010465739
2021/9/15,Spread_Port_03,-0.001751101,-0.039718464
2021/9/15,Spread_Port_04,0.00129269,-0.014267104
2021/9/15,Spread_Port_05,0.005522906,0.19814293
2021/9/15,Spread_Port_06,0.002971991,0.10666827
2021/9/16,Spread_Port_01,0.010146529,0.2514235
2021/9/16,Spread_Port_02,0.001166177,0.047550894
2021/9/16,Spread_Port_03,0.00068192,0.04641574
2021/9/16,Spread_Port_04,-0.00458971,-0.13245192
2021/9/16,Spread_Port_05,-0.003827988,-0.124812506
2021/9/16,Spread_Port_06,-0.003354456,-0.12212915
2021/9/22,Spread_Port_01,0.002615502,0.061074097
2021/9/22,Spread_Port_02,-0.000590928,0.027992122
2021/9/22,Spread_Port_03,-0.000615444,-0.006315394
2021/9/22,Spread_Port_04,-0.000903254,-0.09738422
2021/9/22,Spread_Port_05,-0.002151677,0.008365048
2021/9/22,Spread_Port_06,0.001800047,0.056077823
2021/9/23,Spread_Port_01,0.001779832,0.0569212
2021/9/23,Spread_Port_02,-0.001669273,-0.019450566
2021/9/23,Spread_Port_03,-0.000727857,-0.017884076
2021/9/23,Spread_Port_04,-0.000903254,-0.09738422
2021/9/23,Spread_Port_05,-0.000486531,0.031182544
2021/9/23,Spread_Port_06,0.002230033,0.06787492
2021/9/24,Spread_Port_01,0.001558837,0.063549966
2021/9/24,Spread_Port_02,-0.002240966,-0.05231171
2021/9/24,Spread_Port_03,-0.000727857,-0.017884076
2021/9/24,Spread_Port_04,-0.000903254,-0.09738422
2021/9/24,Spread_Port_05,-0.000185239,0.03267975
2021/9/24,Spread_Port_06,0.002627507,0.0824315
2021/9/27,Spread_Port_01,0.000483212,0.033850946
2021/9/27,Spread_Port_02,-0.004006681,-0.10681559
2021/9/27,Spread_Port_03,-0.002152771,-0.061223816
2021/9/27,Spread_Port_04,-0.000903254,-0.09738422
2021/9/27,Spread_Port_05,0.00139779,0.078899726
2021/9/27,Spread_Port_06,0.005301179,0.18177515
2021/9/28,Spread_Port_01,0.000483212,0.033850946
2021/9/28,Spread_Port_02,-0.003708881,-0.107261434
2021/9/28,Spread_Port_03,-0.001084836,-0.034158383
2021/9/28,Spread_Port_04,-0.001024596,-0.09465902
2021/9/28,Spread_Port_05,-7.69E-06,0.049256817
2021/9/28,Spread_Port_06,0.005478622,0.19517931
2021/9/29,Spread_Port_01,0.000464351,0.03851728
2021/9/29,Spread_Port_02,-0.003581935,-0.10334036
2021/9/29,Spread_Port_03,-0.000727857,-0.017884072
2021/9/29,Spread_Port_04,-0.000903254,-0.09738422
2021/9/29,Spread_Port_05,0.000177054,0.05648332
2021/9/29,Spread_Port_06,0.004500488,0.1614381
2021/9/30,Spread_Port_01,0.000671015,0.052631587
2021/9/30,Spread_Port_02,-0.003996674,-0.11615847
2021/9/30,Spread_Port_03,-0.001601976,-0.05569184
2021/9/30,Spread_Port_04,-0.001024596,-0.09465902
2021/9/30,Spread_Port_05,0.000177054,0.05648332
2021/9/30,Spread_Port_06,0.005710136,0.2034446
2021/10/8,Spread_Port_01,0.001086894,0.047760077
2021/10/8,Spread_Port_02,-0.003789727,-0.10638746
2021/10/8,Spread_Port_03,-0.001751101,-0.039718464
2021/10/8,Spread_Port_04,-0.000903254,-0.09738422
2021/10/8,Spread_Port_05,0.000286984,0.056232505
2021/10/8,Spread_Port_06,0.005014272,0.1872856
2021/10/11,Spread_Port_01,0.001086894,0.047760077
2021/10/11,Spread_Port_02,-0.004886421,-0.12444721
2021/10/11,Spread_Port_03,-0.001558446,-0.021583976
2021/10/11,Spread_Port_04,-0.001160475,-0.08991728
2021/10/11,Spread_Port_05,0.000132185,0.049998365
2021/10/11,Spread_Port_06,0.006415968,0.22458199
2021/10/12,Spread_Port_01,0.001538052,0.063706696
2021/10/12,Spread_Port_02,-0.00308756,-0.08567645
2021/10/12,Spread_Port_03,-0.003468262,-0.048958953
2021/10/12,Spread_Port_04,0.001728602,-0.049361996
2021/10/12,Spread_Port_05,-0.001962736,-0.000165991
2021/10/12,Spread_Port_06,0.005257258,0.17412364
2021/10/13,Spread_Port_01,-0.000980174,-0.021056633
2021/10/13,Spread_Port_02,-0.007171069,-0.15447322
